,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol,Significance
205087_at,5.459711538,148.7837931,0.228762602,0.820711815,0.95394424,-4.607112165,RWDD3,Not Significant
221095_s_at,2.329230769,44.23586207,0.228754226,0.820718262,0.95394424,-4.607112214,KCNE2,Not Significant
204943_at,10.18149038,333.4627586,0.228547348,0.820877498,0.954058447,-4.607113435,ADAM12,Not Significant
209849_s_at,-10.559375,182.2341379,-0.228515321,0.82090215,0.954058447,-4.607113624,RAD51C,Not Significant
38918_at,6.700865385,234.5524138,0.228435858,0.820963316,0.954079773,-4.607114093,SOX13,Not Significant
34260_at,7.408269231,295.6865517,0.22830578,0.821063445,0.954146375,-4.60711486,TELO2,Not Significant
211484_s_at,5.532644231,120.2617241,0.228070812,0.821244322,0.954306802,-4.607116244,DSCAM,Not Significant
215415_s_at,-5.714567308,96.14482759,-0.227972866,0.821319723,0.954344652,-4.607116821,LYST,Not Significant
209155_s_at,13.62110577,544.2958621,0.227916981,0.821362746,0.954344878,-4.60711715,NT5C2,Not Significant
202345_s_at,-147.2703365,3317.865862,-0.227639474,0.821576389,0.954542917,-4.607118781,FABP5,Not Significant
211390_at,1.273701923,16.76965517,0.227530845,0.821660023,0.954542917,-4.60711942,N4BP2L1,Not Significant
213049_at,14.08024038,469.9537931,0.227528665,0.821661701,0.954542917,-4.607119432,RALGAPA1,Not Significant
205781_at,-5.302932692,102.4965517,-0.227380771,0.821775569,0.954613402,-4.607120301,VPS9D1,Not Significant
210355_at,4.208173077,52.42482759,0.227288408,0.821846684,0.954613402,-4.607120843,PTHLH,Not Significant
221037_s_at,2.469182692,32.59,0.227235757,0.821887223,0.954613402,-4.607121152,SLC25A31,Not Significant
214402_s_at,5.029134615,69.94931034,0.227227299,0.821893736,0.954613402,-4.607121202,SFI1,Not Significant
211648_at,-5.208028846,62.45275862,-0.22712557,0.821972064,0.954654619,-4.607121798,IGHG1,Not Significant
214502_at,3.029663462,44.73,0.227041308,0.822036946,0.954680214,-4.607122292,H2BC11,Not Significant
211057_at,-3.325528846,51.34137931,-0.226926834,0.822125092,0.954708207,-4.607122963,ROR1,Not Significant
220967_s_at,-3.634951923,53.93758621,-0.226847919,0.822185859,0.954708207,-4.607123425,ZNF696,Not Significant
221727_at,-8.650817308,276.4248276,-0.226843082,0.822189583,0.954708207,-4.607123454,SUB1,Not Significant
206507_at,-4.716586538,118.6662069,-0.22674203,0.822267398,0.954732237,-4.607124045,ZSCAN12,Not Significant
206437_at,-12.70725962,346.4644828,-0.226704927,0.82229597,0.954732237,-4.607124262,S1PR4,Not Significant
202875_s_at,-6.953798077,208.7403448,-0.226539088,0.822423679,0.954746923,-4.607125233,PBX2,Not Significant
209217_s_at,-13.97822115,780.1217241,-0.226420374,0.822515101,0.954746923,-4.607125927,WDR45,Not Significant
