,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol,Significance
210048_at,149.8633654,351.2786207,6.398790857,6.23E-07,0.006293399,-4.390411033,NAPG,Up-regulated
AFFX-HSAC07/X00351_M_at,10387.73144,26854.81448,6.300374366,8.09E-07,0.006293399,-4.393180078,ACTB,Up-regulated
208782_at,-770.9121635,1628.87069,-6.283256219,8.47E-07,0.006293399,-4.393667629,FSTL1,Down-regulated
204351_at,11031.8963,13961.12655,6.146071743,1.22E-06,0.006814067,-4.397638898,S100P,Up-regulated
202028_s_at,-2339.259183,4338.486552,-5.974463431,1.94E-06,0.008648211,-4.402769212,RPL38,Down-regulated
208845_at,-1478.439423,4460.986207,-5.667355776,4.46E-06,0.016547961,-4.412411371,VDAC3,Down-regulated
213852_at,-340.6367308,863.5217241,-5.491400232,7.19E-06,0.022894381,-4.418207173,RBM8A,Down-regulated
AFFX-HSAC07/X00351_5_at,7741.483462,20980.89483,5.348850067,1.06E-05,0.025511309,-4.423049201,ACTB,Up-regulated
214142_at,14092.81216,19110.3031,5.330301639,1.12E-05,0.025511309,-4.423688912,ZG16,Up-regulated
200016_x_at,-3367.719615,12405.31241,-5.321029452,1.14E-05,0.025511309,-4.424009533,HNRNPA1,Down-regulated
217749_at,357.7523558,688.0113793,5.265456468,1.33E-05,0.02696164,-4.42594285,COPG1,Up-regulated
201747_s_at,141.599375,150.4237931,5.228863897,1.47E-05,0.02696164,-4.427226779,SAFB,Up-regulated
202647_s_at,219.1103365,560.45,5.199482269,1.60E-05,0.02696164,-4.428263968,NRAS,Up-regulated
200950_at,872.5836538,2168.44931,5.16118779,1.77E-05,0.02696164,-4.429624163,ARPC1A,Up-regulated
209712_at,337.3353365,922.3275862,5.139253059,1.88E-05,0.02696164,-4.430407536,SLC35D1,Up-regulated
211974_x_at,-413.6917788,1531.532414,-5.128923551,1.94E-05,0.02696164,-4.430777517,RBPJ,Down-regulated
203728_at,299.745625,430.3868966,5.094406008,2.13E-05,0.027616464,-4.432018851,BAK1,Up-regulated
200700_s_at,2050.020385,5121.060345,5.077118365,2.23E-05,0.027616464,-4.432643439,KDELR2,Up-regulated
212246_at,131.3031731,204.0062069,5.033994796,2.51E-05,0.028134631,-4.434209828,MCFD2,Up-regulated
217562_at,-71.14201923,47.26,-5.03183702,2.53E-05,0.028134631,-4.434288519,BRINP3,Down-regulated
221269_s_at,1478.576971,3392.712759,4.955478464,3.11E-05,0.031784266,-4.437092382,SH3BGRL3,Up-regulated
207593_at,-176.1694712,263.0668966,-4.952469829,3.14E-05,0.031784266,-4.437203621,ABCG4,Down-regulated
208977_x_at,3874.210817,10943.41793,4.848175274,4.17E-05,0.04032647,-4.441095202,TUBB4B,Up-regulated
203649_s_at,11824.51764,15500.83103,4.833726876,4.34E-05,0.04032647,-4.441639738,PLA2G2A,Up-regulated
211048_s_at,535.9217308,1110.881724,4.815834059,4.56E-05,0.04065631,-4.442315904,PDIA4,Up-regulated
221943_x_at,-2781.303942,4929.455172,-4.7749433,5.10E-05,0.043226759,-4.443868679,RPL38,Down-regulated
201190_s_at,-294.1101442,1142.893103,-4.765301318,5.24E-05,0.043226759,-4.44423634,PITPNA,Down-regulated
201020_at,451.5205288,1050.748621,4.723790298,5.87E-05,0.046014675,-4.445825796,YWHAH,Up-regulated
205011_at,-357.8209135,1214.813103,-4.716324392,5.99E-05,0.046014675,-4.446112796,VWA5A,Down-regulated
214222_at,-148.9838462,276.4758621,-4.684691802,6.53E-05,0.047680613,-4.447332605,DNAH7,Down-regulated
202833_s_at,1161.590817,1707.68,4.678923547,6.63E-05,0.047680613,-4.447555701,SERPINA1,Up-regulated
211345_x_at,-4199.400337,23933.19793,-4.607566199,8.06E-05,0.055818697,-4.450332327,EEF1G,Not Significant
200025_s_at,-3163.318702,16712.65379,-4.591137179,8.43E-05,0.055818697,-4.450975972,RPL27,Not Significant
209853_s_at,246.6640865,457.922069,4.582429506,8.63E-05,0.055818697,-4.451317773,PSME3,Not Significant
221013_s_at,-310.6407692,471.5927586,-4.571055192,8.91E-05,0.055818697,-4.451764931,APOL2,Not Significant
204017_at,621.9072596,1483.515862,4.560367201,9.17E-05,0.055818697,-4.452185813,KDELR3,Not Significant
213801_x_at,-4299.694904,16698.07069,-4.553116833,9.35E-05,0.055818697,-4.452471713,RPSA,Not Significant
210337_s_at,278.4969712,400.6996552,4.536244968,9.79E-05,0.055818697,-4.453138221,ACLY,Not Significant
202671_s_at,239.7651923,695.6865517,4.529377751,9.98E-05,0.055818697,-4.453409988,PDXK,Not Significant
220240_s_at,243.5667308,403.0824138,4.527877085,0.0001002,0.055818697,-4.453469414,SLC9D1,Not Significant
206016_at,108.2781731,236.5527586,4.513144843,0.000104307,0.056635045,-4.454053506,CCDC22,Not Significant
221516_s_at,-243.7044231,765.2993103,-4.495776302,0.000109366,0.056635045,-4.454743762,MIEF1,Not Significant
210152_at,-108.7065385,217.6555172,-4.494081203,0.000109872,0.056635045,-4.454811223,LILRB4,Not Significant
211882_x_at,427.0669231,557.3162069,4.48759667,0.000111832,0.056635045,-4.455069448,FUT6,Not Significant
205462_s_at,237.6499519,394.5741379,4.459506453,0.000120727,0.05978148,-4.45619088,HPCAL1,Not Significant
202889_x_at,411.4350481,556.8717241,4.438934961,0.000127684,0.060535881,-4.457015049,MAP7,Not Significant
208697_s_at,-2523.329471,7526.222069,-4.413335414,0.000136899,0.063552535,-4.458044064,EIF3E,Not Significant
208768_x_at,-4203.28476,21407.05172,-4.375774703,0.000151625,0.068952382,-4.459560647,RPL22,Not Significant
217644_s_at,81.91086538,96.92758621,4.357759881,0.000159235,0.070964666,-4.460290859,SOS2,Not Significant
216232_s_at,155.8797115,403.3741379,4.331453448,0.000171031,0.07431059,-4.461360428,GCN1,Not Significant
217680_x_at,-214.4025962,290.9927586,-4.325357841,0.000173886,0.07431059,-4.461608813,RPL10,Not Significant
214040_s_at,414.6517308,571.4441379,4.318334936,0.000177233,0.07431059,-4.461895239,GSN,Not Significant
213110_s_at,-117.4595192,190.8755172,-4.312460681,0.000180082,0.07431059,-4.462135027,COL4A5,Not Significant
202029_x_at,-3283.939087,17117.18,-4.299664287,0.000186446,0.075537683,-4.462658035,RPL38,Not Significant
201264_at,435.7616346,1194.604828,4.290776424,0.000190996,0.075999433,-4.463021824,COPE,Not Significant
220153_at,150.0311538,253.3096552,4.278564864,0.000197428,0.07718044,-4.463522359,ENTPD7,Not Significant
212391_x_at,-6150.831058,39245.96034,-4.260524347,0.000207323,0.07965152,-4.464263296,RPS3A,Not Significant
207971_s_at,-115.6871635,251.8941379,-4.253331313,0.000211404,0.079842752,-4.464559209,CEP68,Not Significant
207689_at,172.0565865,294.2793103,4.244956733,0.000216256,0.080313748,-4.46490408,TBX10,Not Significant
208651_x_at,-2141.22726,6259.378621,-4.222172948,0.000230018,0.08232055,-4.465844229,CD24,Not Significant
214001_x_at,-338.1007692,874.7924138,-4.216089721,0.000233837,0.08232055,-4.466095714,RPS10,Not Significant
202821_s_at,158.4385577,366.582069,4.214870206,0.00023461,0.08232055,-4.466146153,LPP,Not Significant
213612_x_at,-848.5567788,2111.066897,-4.205728709,0.000240485,0.08232055,-4.466524495,NBPF12,Not Significant
87100_at,144.3094712,145.6851724,4.199449247,0.000244605,0.08232055,-4.46678464,ABHD2,Not Significant
205401_at,172.0779808,411.8003448,4.197345619,0.000246001,0.08232055,-4.466871835,AGPS,Not Significant
215203_at,-105.4708654,139.6737931,-4.173366011,0.000262478,0.08232055,-4.467867419,GOLGA4,Not Significant
203109_at,213.4104327,339.6313793,4.161449241,0.000271066,0.08232055,-4.468363288,UBE2M,Not Significant
212716_s_at,-718.5471635,3415.331724,-4.158921144,0.000272924,0.08232055,-4.468468579,EIF3K,Not Significant
203091_at,191.6735096,437.2555172,4.152553209,0.000277658,0.08232055,-4.468733938,FUBP1,Not Significant
203240_at,7604.091827,13331.91793,4.151724236,0.00027828,0.08232055,-4.468768497,FCGBP,Not Significant
207977_s_at,-164.419375,177.2058621,-4.142824519,0.000285048,0.08232055,-4.469139744,DPT,Not Significant
218233_s_at,-832.1107692,2732.175172,-4.142748547,0.000285107,0.08232055,-4.469142915,PRICKLE4,Not Significant
213477_x_at,-7165.192788,42431.30172,-4.140316231,0.000286985,0.08232055,-4.469244449,EEF1A1,Not Significant
212531_at,6199.312404,5977.174138,4.139445655,0.00028766,0.08232055,-4.469280797,LCN2,Not Significant
203445_s_at,-575.1892788,2809.460345,-4.137649266,0.000289058,0.08232055,-4.469355813,CTDSP2,Not Significant
212197_x_at,-436.686875,1940.44931,-4.125927621,0.000298347,0.08232055,-4.469845698,MPRIP,Not Significant
202136_at,-563.4640385,1923.784828,-4.124313263,0.000299649,0.08232055,-4.469913221,ZMYND11,Not Significant
210010_s_at,301.4684615,777.2789655,4.124141794,0.000299787,0.08232055,-4.469920394,SLC25A1,Not Significant
219854_at,-132.5935096,275.9803448,-4.122117325,0.000301429,0.08232055,-4.470005092,ZNF14,Not Significant
216086_at,-87.174375,143.5937931,-4.117894244,0.000304882,0.08232055,-4.470181839,SV2C,Not Significant
214326_x_at,612.4460577,768.6089655,4.113786186,0.000308278,0.08232055,-4.470353858,JUND,Not Significant
202822_at,-713.4584135,1916.62931,-4.112059908,0.000309717,0.08232055,-4.470426169,LPP,Not Significant
206735_at,-86.55288462,100.462069,-4.111334617,0.000310323,0.08232055,-4.470456555,CHRNA4,Not Significant
200912_s_at,-2492.742885,8795.638966,-4.106761044,0.000314173,0.082361388,-4.470648223,EIF4A2,Not Significant
204507_s_at,106.5608173,216.6644828,4.08256585,0.000335338,0.086887523,-4.471663919,PPP3R1,Not Significant
204079_at,158.248125,281.6893103,4.03320365,0.000382965,0.095802548,-4.473745005,TPST2,Not Significant
208875_s_at,142.5683173,354.8006897,4.032849501,0.00038333,0.095802548,-4.473759978,PAK2,Not Significant
201934_at,-382.0421635,1844.639655,-4.028583852,0.000387749,0.095802548,-4.473940375,WDR82,Not Significant
91703_at,187.7650962,288.8406897,4.023695564,0.000392876,0.095802548,-4.47414721,EHBP1L1,Not Significant
219299_at,-97.00990385,399.8234483,-4.021208557,0.000395509,0.095802548,-4.474252485,TYW2,Not Significant
208990_s_at,-249.8810096,970.51,-4.017888676,0.000399052,0.095802548,-4.47439306,HNRNPH3,Not Significant
203751_x_at,696.4693269,986.6758621,4.017154159,0.00039984,0.095802548,-4.474424169,JUND,Not Significant
214800_x_at,-682.7375481,2040.844138,-4.008554291,0.000409181,0.096005518,-4.474788591,BTF3,Not Significant
203311_s_at,515.7190865,995.1762069,4.000414647,0.00041822,0.096005518,-4.47513383,ARF6,Not Significant
206350_at,-120.7393269,154.6682759,-3.999181394,0.000419606,0.096005518,-4.475186165,APCS,Not Significant
209568_s_at,-181.7622596,601.7027586,-3.996849536,0.00042224,0.096005518,-4.475285141,RGL1,Not Significant
201169_s_at,319.9825481,453.9351724,3.993243366,0.000426345,0.096005518,-4.475438254,BHLHE40,Not Significant
205645_at,114.9343269,123.3789655,3.988106604,0.000432261,0.096005518,-4.475656458,REPS2,Not Significant
210639_s_at,130.2655288,626.8244828,3.987072001,0.000433462,0.096005518,-4.475700422,ATG5,Not Significant
210885_s_at,259.6172115,324.0086207,3.982713978,0.000438558,0.096005518,-4.475885663,TRIM15,Not Significant
213350_at,-1210.317837,1819.906897,-3.981944792,0.000439463,0.096005518,-4.475918367,RPS11,Not Significant
208165_s_at,107.5185577,290.5482759,3.973557931,0.000449457,0.096524423,-4.476275134,PRSS16,Not Significant
205214_at,162.1565385,200.1441379,3.9726911,0.000450502,0.096524423,-4.476312026,STK17B,Not Significant
200911_s_at,-990.8522115,2609.571379,-3.964191939,0.000460881,0.09780765,-4.476673933,TACC1,Not Significant
210398_x_at,290.9723077,428.9641379,3.955306601,0.000471982,0.099218584,-4.477052635,FUT6,Not Significant
202856_s_at,345.6490385,1064.731379,3.948800674,0.000480276,0.100018654,-4.477330151,SLC16A3,Not Significant
207667_s_at,342.9560096,891.5217241,3.940209617,0.000491449,0.100881447,-4.477696902,MAP2K3,Not Significant
204549_at,196.1502404,398.5562069,3.930448116,0.000504453,0.100954088,-4.47811402,IKBKE,Not Significant
205683_x_at,-796.6610577,1190.135172,-3.928737385,0.000506767,0.100954088,-4.478187164,TPSAB1,Not Significant
205230_at,-115.8144712,227.3662069,-3.927144492,0.00050893,0.100954088,-4.478255283,RPH3A,Not Significant
201778_s_at,-824.6599519,3269.918276,-3.924931488,0.000511951,0.100954088,-4.478349938,EFCAB14,Not Significant
209690_s_at,303.1194712,449.0244828,3.918996898,0.00052014,0.101636501,-4.47860388,DOK4,Not Significant
218260_at,177.3180769,397.4675862,3.915849578,0.000524534,0.101636501,-4.478738617,DDA1,Not Significant
202886_s_at,108.0666346,408.5675862,3.907184176,0.000536823,0.10312089,-4.479109809,PPP2R1B,Not Significant
201103_x_at,-715.4216827,1938.256897,-3.892954833,0.000557617,0.104885691,-4.479720048,NBPF12,Not Significant
218707_at,-189.7479808,237.6106897,-3.892067295,0.00055894,0.104885691,-4.47975814,ZNF444,Not Significant
200032_s_at,-4016.344423,24749.11276,-3.889004804,0.000563528,0.104885691,-4.479889603,RPL9,Not Significant
208695_s_at,-4925.186635,25898.54103,-3.882363039,0.000573606,0.104885691,-4.480174853,RPL39,Not Significant
200998_s_at,433.0549519,1558.793793,3.880744927,0.000576088,0.104885691,-4.480244377,CKAP4,Not Significant
218302_at,286.2345673,730.4448276,3.879082275,0.000578649,0.104885691,-4.480315825,PSENEN,Not Significant
209529_at,271.9853846,963.4155172,3.878881844,0.000578959,0.104885691,-4.480324439,PLPP2,Not Significant
210114_at,82.70177885,172.3524138,3.869824481,0.000593116,0.106583874,-4.480713871,INVS,Not Significant
200730_s_at,847.8495673,1424.571379,3.861264367,0.000606807,0.107419464,-4.481082242,PTP4A1,Not Significant
206570_s_at,-135.2240865,199.512069,-3.8590574,0.000610387,0.107419464,-4.481177266,PSG11,Not Significant
203498_at,-162.3238462,465.4958621,-3.857927489,0.000612228,0.107419464,-4.481225923,RCAN2,Not Significant
205166_at,480.1155288,978.4051724,3.849156958,0.000626702,0.109100061,-4.48160379,CAPN5,Not Significant
221775_x_at,-3523.375,19192.75897,-3.839861537,0.000642409,0.109306763,-4.482004619,RPL22,Not Significant
204673_at,5632.331106,8633.013793,3.835688097,0.000649586,0.109306763,-4.482184698,MUC2,Not Significant
208793_x_at,156.5278846,267.0748276,3.831289105,0.000657235,0.109306763,-4.482374587,SMARCA4,Not Significant
204657_s_at,193.8540865,325.0155172,3.830475523,0.00065866,0.109306763,-4.482409715,SHB,Not Significant
213476_x_at,1250.04351,4343.683793,3.82384974,0.000670373,0.109306763,-4.482695898,TUBB3,Not Significant
211429_s_at,1647.498365,3202.32,3.823810903,0.000670442,0.109306763,-4.482697576,SERPINA1,Not Significant
215190_at,-108.2175962,164.4775862,-3.82037679,0.000676594,0.109306763,-4.482845973,EIF3M,Not Significant
220339_s_at,240.6553365,314.1768966,3.820253548,0.000676816,0.109306763,-4.4828513,TPSG1,Not Significant
200897_s_at,-614.4740385,2147.511379,-3.817937989,0.000680996,0.109306763,-4.48295139,PALLD,Not Significant
208097_s_at,232.6078365,593.6668966,3.817520668,0.000681752,0.109306763,-4.48296943,TMX1,Not Significant
204623_at,8587.375817,17597.92483,3.817467358,0.000681849,0.109306763,-4.482971735,TFF3,Not Significant
207945_s_at,296.1437019,716.2765517,3.812735663,0.000690481,0.109766649,-4.483176338,CSNK1D,Not Significant
204933_s_at,208.9225481,183.3706897,3.810514276,0.00069457,0.109766649,-4.483272424,TNFRSF11B,Not Significant
213002_at,-458.5045673,1512.649655,-3.802335243,0.000709831,0.110062192,-4.483626377,MARCKS,Not Significant
214500_at,239.605,396.8258621,3.798519817,0.000717062,0.110062192,-4.483791583,MACROH2A1,Not Significant
216221_s_at,-326.9225962,1788.572759,-3.797723699,0.00071858,0.110062192,-4.483826062,PUM2,Not Significant
217755_at,815.0490865,2277.703793,3.795585752,0.000722671,0.110062192,-4.483918666,JPT1,Not Significant
211615_s_at,-232.5623077,839.662069,-3.793400349,0.000726877,0.110062192,-4.484013344,LRPPRC,Not Significant
218008_at,359.2490865,1487.477931,3.792071911,0.000729446,0.110062192,-4.484070905,TMEM248,Not Significant
217023_x_at,-683.2281731,729.0334483,-3.787758347,0.000737847,0.110062192,-4.484257859,TPSAB1,Not Significant
203305_at,-333.2034615,608.152069,-3.786053134,0.000741194,0.110062192,-4.484331784,F13A1,Not Significant
210501_x_at,-890.7748558,5035.817241,-3.786026122,0.000741247,0.110062192,-4.484332956,EIF3K,Not Significant
203509_at,-528.2009135,2106.720345,-3.780480286,0.000752237,0.110062192,-4.484573461,SORL1,Not Significant
212481_s_at,469.1916346,1135.078966,3.779847203,0.000753502,0.110062192,-4.484600924,TPM4,Not Significant
209920_at,98.32399038,142.8831034,3.778743569,0.000755711,0.110062192,-4.484648802,BMPR2,Not Significant
209931_s_at,161.0141346,280.71,3.771180375,0.000771025,0.110221424,-4.484977037,FKBP1B,Not Significant
212955_s_at,-230.4679327,856.8775862,-3.767248619,0.000779105,0.110221424,-4.485147759,POLR2I,Not Significant
204698_at,901.6449519,719.8862069,3.762613305,0.000788737,0.110221424,-4.485349105,ISG20,Not Significant
208840_s_at,251.1010577,654.6662069,3.762348597,0.000789291,0.110221424,-4.485360606,G3BP2,Not Significant
63825_at,371.5316827,606.4306897,3.762129837,0.000789748,0.110221424,-4.485370111,ABHD2,Not Significant
209418_s_at,-159.0362981,327.2227586,-3.759847679,0.000794539,0.110221424,-4.485469276,THOC5,Not Significant
200634_at,2269.419279,7061.697241,3.759776149,0.00079469,0.110221424,-4.485472385,PFN1,Not Significant
205099_s_at,-100.0577885,125.4472414,-3.756801051,0.00080098,0.110221424,-4.485601691,CCR1,Not Significant
33304_at,756.1794231,1461.165517,3.75663952,0.000801323,0.110221424,-4.485608712,ISG20,Not Significant
221972_s_at,213.87875,590.932069,3.752382027,0.000810412,0.11078776,-4.485793816,SDF4,Not Significant
212514_x_at,409.8302404,822.0386207,3.749500451,0.000816621,0.110955835,-4.485919137,DDX3X,Not Significant
206071_s_at,-78.54692308,71.53068966,-3.739676097,0.00083814,0.112802321,-4.486346637,EPHA3,Not Significant
201790_s_at,219.6048077,582.0389655,3.738687955,0.000840335,0.112802321,-4.486389655,DHCR7,Not Significant
209335_at,-194.9810577,392.8565517,-3.731627413,0.000856182,0.113776064,-4.486697137,DCN,Not Significant
201104_x_at,-536.1937981,1608.775862,-3.730913348,0.000857801,0.113776064,-4.486728245,NBPF14,Not Significant
210087_s_at,187.650625,555.2413793,3.727615865,0.000865315,0.114093638,-4.486871919,MPZL1,Not Significant
212024_x_at,-303.4367308,1187.885862,-3.724476302,0.00087253,0.11436813,-4.48700875,FLII,Not Significant
207134_x_at,-513.9498077,888.3237931,-3.71810463,0.000887352,0.115289733,-4.487286556,TPSB2,Not Significant
217551_at,144.0833173,308.5665517,3.717016186,0.000889909,0.115289733,-4.487334027,OR7E14P,Not Significant
203759_at,291.4495673,484.302069,3.711602885,0.00090273,0.115581271,-4.487570185,ST3GAL4,Not Significant
217963_s_at,-939.5222596,2420.408276,-3.704975344,0.000918674,0.115581271,-4.487859458,BEX3,Not Significant
212005_at,92.40947115,136.4906897,3.704827947,0.000919031,0.115581271,-4.487865893,SZRD1,Not Significant
205690_s_at,233.3342788,802.21,3.704091504,0.00092082,0.115581271,-4.487898046,BUD31,Not Significant
221050_s_at,202.9567308,441.4168966,3.701170643,0.00092795,0.115581271,-4.488025592,GTPBP2,Not Significant
219475_at,132.5852885,233.0989655,3.699091894,0.000933057,0.115581271,-4.488116384,OSGIN1,Not Significant
200638_s_at,1695.201923,4441.336897,3.695533804,0.000941862,0.115581271,-4.488271823,YWHAZ,Not Significant
200845_s_at,-1790.832067,4575.222414,-3.694557259,0.000944292,0.115581271,-4.488314492,PRDX6,Not Significant
201367_s_at,466.8573077,666.5741379,3.692981763,0.000948227,0.115581271,-4.488383339,ZFP36L2,Not Significant
220192_x_at,480.5014423,1035.586552,3.69258683,0.000949216,0.115581271,-4.488400599,SPDEF,Not Significant
217004_s_at,-98.43807692,127.9124138,-3.687448357,0.000962172,0.116522215,-4.48862521,MCF2,Not Significant
200099_s_at,-5014.886298,22864.4631,-3.683377236,0.00097256,0.116560738,-4.488803231,RPS3A,Not Significant
209470_s_at,-53.08004808,68.36137931,-3.683224337,0.000972952,0.116560738,-4.488809918,GPM6A,Not Significant
200689_x_at,-3852.70024,21598.1169,-3.679345096,0.000982956,0.117129469,-4.488979604,EEF1G,Not Significant
200672_x_at,498.5822115,862.7613793,3.671253604,0.001004146,0.119018023,-4.48933371,SPTBN1,Not Significant
212562_s_at,-114.8106731,166.1231034,-3.665620043,0.001019162,0.120158613,-4.489580382,CTSZ,Not Significant
203843_at,243.8082692,761.4841379,3.662558667,0.001027413,0.120398142,-4.489714473,RPS6KA3,Not Significant
214835_s_at,-340.6042788,1031.296552,-3.660867241,0.001032,0.120398142,-4.489788573,SUCLG2,Not Significant
219750_at,63.33019231,80.26310345,3.653137841,0.001053215,0.121258231,-4.490127313,TMEM144,Not Significant
200894_s_at,148.7954327,521.1517241,3.652300709,0.001055538,0.121258231,-4.490164012,FKBP4,Not Significant
207474_at,-88.05072115,95.91413793,-3.652243439,0.001055697,0.121258231,-4.490166523,SNRK,Not Significant
203648_at,-217.7630769,746.697931,-3.647922383,0.001067769,0.121518262,-4.490355992,TATDN2,Not Significant
207132_x_at,-1908.987548,6270.782414,-3.647531661,0.001068868,0.121518262,-4.490373127,PFDN5,Not Significant
200089_s_at,-1547.48774,6504.158276,-3.641811262,0.001085073,0.122429582,-4.490624057,RPL4,Not Significant
211424_x_at,-89.29822115,194.2758621,-3.640831573,0.001087872,0.122429582,-4.490667043,TMT1A,Not Significant
206083_at,-135.1587981,173.7565517,-3.63689149,0.001099201,0.123082936,-4.490839953,ADGRB1,Not Significant
222192_s_at,98.11528846,303.0710345,3.634764764,0.001105364,0.123154144,-4.490933305,LDAH,Not Significant
202227_s_at,-126.5647596,562.2965517,-3.630646127,0.001117395,0.123875163,-4.491114133,BRD8,Not Significant
214734_at,-229.1395673,935.0458621,-3.626991286,0.001128177,0.124451365,-4.491274645,EXPH5,Not Significant
208785_s_at,461.2897115,1681.206207,3.62154348,0.001144438,0.125127375,-4.491513978,MAP1LC3B,Not Significant
202122_s_at,688.5457692,1452.896552,3.620825684,0.001146597,0.125127375,-4.491545519,PLIN3,Not Significant
212515_s_at,454.3474519,1023.501379,3.61931606,0.001151152,0.125127375,-4.491611861,DDX3X,Not Significant
200922_at,237.5200962,719.0517241,3.610713261,0.001177444,0.127287062,-4.491990053,KDELR1,Not Significant
208916_at,204.9588942,569.52,3.607414154,0.001187681,0.127287062,-4.492135148,SLC1A5,Not Significant
204595_s_at,173.5867788,418.5458621,3.605477786,0.00119373,0.127287062,-4.492220326,STC1,Not Significant
222155_s_at,278.3501923,488.8248276,3.605433091,0.00119387,0.127287062,-4.492222292,SLC52A2,Not Significant
201416_at,-257.8776442,671.1834483,-3.602560394,0.0012029,0.127596463,-4.492348679,SOX4,Not Significant
218178_s_at,728.8183654,1988.782069,3.599831349,0.001211539,0.127596463,-4.49246877,CHMP1B,Not Significant
213259_s_at,-130.9264904,185.3493103,-3.599073288,0.00121395,0.127596463,-4.492502132,SARM1,Not Significant
208873_s_at,-353.4054327,1330.15,-3.59611737,0.001223395,0.127985456,-4.492632239,REEP5,Not Significant
202564_x_at,-244.9048077,752.4624138,-3.585468969,0.001258014,0.130992132,-4.493101159,ARL2,Not Significant
210652_s_at,312.9371154,956.7903448,3.580868072,0.001273264,0.131576493,-4.493303873,TTC39A,Not Significant
213974_at,-76.52668269,174.0906897,-3.578233663,0.001282078,0.131576493,-4.493419972,ADAMTSL3,Not Significant
201688_s_at,1210.221298,3362.531379,3.577854512,0.001283351,0.131576493,-4.493436683,TPD52,Not Significant
212042_x_at,-3021.478942,12073.96483,-3.575852527,0.001290095,0.131576493,-4.493524928,RPL7,Not Significant
203297_s_at,-202.9672115,715.1165517,-3.572050447,0.001302997,0.131576493,-4.493692551,JARID2,Not Significant
204203_at,325.1918269,687.2231034,3.571665371,0.001304311,0.131576493,-4.49370953,CEBPG,Not Significant
213508_at,-333.1128846,1233.638966,-3.569874795,0.001310436,0.131576493,-4.493788488,SPTSSA,Not Significant
216607_s_at,757.2182212,1505.571724,3.569493856,0.001311743,0.131576493,-4.493805288,CYP51A1,Not Significant
205566_at,242.3400481,743.147931,3.568032212,0.001316769,0.131576493,-4.49386975,ABHD2,Not Significant
213807_x_at,234.4740865,662.6265517,3.564517986,0.001328929,0.132198785,-4.494024761,MET,Not Significant
218653_at,115.8760577,238.3093103,3.555132296,0.001361944,0.133169709,-4.494438938,SLC25A15,Not Significant
209373_at,1881.887067,4478.284828,3.553802466,0.001366686,0.133169709,-4.494497642,MALL,Not Significant
210732_s_at,108.4492788,187.187931,3.550572236,0.001378271,0.133169709,-4.494640258,LGALS8,Not Significant
218864_at,-31.46889423,55.11862069,-3.548366894,0.001386235,0.133169709,-4.494737642,TNS1,Not Significant
203571_s_at,-317.8870192,546.9348276,-3.547580326,0.001389086,0.133169709,-4.494772378,ADIRF,Not Significant
217807_s_at,-3492.166394,13344.10828,-3.547169045,0.001390579,0.133169709,-4.494790542,NOP53,Not Significant
203078_at,-40.16221154,39.96,-3.545244989,0.001397585,0.133169709,-4.494875523,CUL2,Not Significant
213071_at,-159.4326923,255.4148276,-3.544515586,0.00140025,0.133169709,-4.494907742,DPT,Not Significant
205368_at,-94.10158654,153.5703448,-3.5386849,0.00142173,0.133169709,-4.495165343,FAM131B,Not Significant
215129_at,-74.22783654,105.2551724,-3.536537133,0.001429723,0.133169709,-4.495260256,PIK3C2G,Not Significant
89476_r_at,-423.8264423,747.2524138,-3.536190463,0.001431017,0.133169709,-4.495275578,NPEPL1,Not Significant
217608_at,-74.58528846,222.0310345,-3.535492237,0.001433627,0.133169709,-4.495306437,SREK1IP1,Not Significant
212902_at,280.1925481,516.372069,3.53368685,0.001440397,0.133169709,-4.495386235,SEC24A,Not Significant
220987_s_at,-224.5566346,620.352069,-3.532804857,0.001443716,0.133169709,-4.495425222,NUAK2,Not Significant
208960_s_at,1691.903221,3848.63,3.532531794,0.001444745,0.133169709,-4.495437293,KLF6,Not Significant
212268_at,692.7813942,1584.953448,3.532495775,0.001444881,0.133169709,-4.495438885,SERPINB1,Not Significant
202055_at,182.9621154,426.25,3.530081675,0.00145401,0.133169709,-4.49554561,KPNA1,Not Significant
213726_x_at,2648.47524,10117.0031,3.527752411,0.001462871,0.133169709,-4.495648599,TUBB4B,Not Significant
202096_s_at,480.7101923,2221.231724,3.527439513,0.001464065,0.133169709,-4.495662436,TSPO,Not Significant
209680_s_at,-257.7599038,487.4837931,-3.523705844,0.00147839,0.133169709,-4.495827556,KIFC1,Not Significant
204571_x_at,-323.0859135,1031.697241,-3.521473207,0.001487021,0.133169709,-4.495926311,PIN4,Not Significant
202924_s_at,167.965,293.9503448,3.520886675,0.001489296,0.133169709,-4.495952257,PLAGL2,Not Significant
201420_s_at,215.3886538,364.9089655,3.518798509,0.001497425,0.133169709,-4.496044638,WDR77,Not Significant
208932_at,387.4547115,811.7196552,3.518767105,0.001497547,0.133169709,-4.496046028,PPP4C,Not Significant
202047_s_at,-224.378125,600.7551724,-3.517411906,0.001502846,0.133169709,-4.496105988,CBX6,Not Significant
219406_at,-104.7703365,151.3141379,-3.517034889,0.001504323,0.133169709,-4.49612267,C1orf50,Not Significant
207214_at,6571.944375,6763.350345,3.516600937,0.001506026,0.133169709,-4.496141872,SPINK4,Not Significant
